lrk_id,type_oko,lrk_status,inschrijfdatum,uitschrijfdatum,kvk_nummer,vestigingsnummer,rechtsvorm,postcode,woonplaats,signal
109369592,KDV,Uitgeschreven,21-01-2015,26-07-2019,61388211,000030495946,,1025CJ,Amsterdam,kvk_not_in_active_register
109392863,KDV,Uitgeschreven,01-01-2017,01-07-2020,39089223,000042763037,,8315AM,Luttelgeest,kvk_not_in_active_register
109422211,BSO,Uitgeschreven,23-01-2017,13-11-2019,67003001,000035580585,,7201EA,Zutphen,kvk_not_in_active_register
109423896,BSO,Uitgeschreven,16-08-2017,29-05-2020,66495342,000035111186,,3071JA,Rotterdam,kvk_not_in_active_register
109428389,KDV,Uitgeschreven,08-05-2017,01-02-2019,67257070,000035814179,,8121EX,Olst,kvk_not_in_active_register
109429126,KDV,Uitgeschreven,01-01-2010,20-11-2015,14066782,,,6163LB,Geleen,kvk_not_in_active_register
109475501,KDV,Uitgeschreven,29-06-2012,09-01-2018,40156075,,,6624KN,Heerewaarden,kvk_not_in_active_register
109888303,BSO,Uitgeschreven,28-09-2010,07-06-2019,32157840,,,5321TN,Hedel,kvk_not_in_active_register
110012884,BSO,Uitgeschreven,03-09-2007,01-08-2019,61182850,000025278681,,7334AL,Apeldoorn,kvk_not_in_active_register
110025143,KDV,Uitgeschreven,30-12-2019,19-04-2021,08215454,,,7327DJ,Apeldoorn,kvk_not_in_active_register
110082072,BSO,Uitgeschreven,01-01-2010,15-06-2020,34321110,000019291620,,1182CK,Amstelveen,kvk_not_in_active_register
110241769,KDV,Uitgeschreven,14-03-2016,10-06-2021,67707173,000035472731,,3021LN,Rotterdam,kvk_not_in_active_register
110244278,GOB,Uitgeschreven,30-01-2012,01-10-2019,54810647,000024535850,,3314TW,Dordrecht,kvk_not_in_active_register
110536320,GOB,Uitgeschreven,17-08-2010,05-10-2020,50291173,,,1448XD,Purmerend,kvk_not_in_active_register
110581519,KDV,Uitgeschreven,30-01-2013,01-01-2018,56702418,000025673009,,3927GX,Renswoude,kvk_not_in_active_register
110587716,BSO,Uitgeschreven,01-01-2010,01-12-2018,02067809,,,9745AC,Groningen,kvk_not_in_active_register
110606280,BSO,Uitgeschreven,02-05-2016,30-01-2020,60274107,000029488249,,7773NH,Hardenberg,kvk_not_in_active_register
110695355,BSO,Uitgeschreven,08-10-2010,20-01-2021,51864851,000051864851,,9636HE,Zuidbroek,kvk_not_in_active_register
110848627,BSO,Uitgeschreven,05-09-2014,30-04-2018,08189913,000032996411,,7315AC,Apeldoorn,kvk_not_in_active_register
111009947,KDV,Uitgeschreven,02-09-2014,04-03-2024,34095547,000026568896,,2102GA,Heemstede,kvk_not_in_active_register
111105638,KDV,Uitgeschreven,15-12-2017,17-02-2021,61866849,000000000000,,3451SX,Vleuten,kvk_not_in_active_register
111231309,BSO,Uitgeschreven,11-12-2020,01-01-2023,17229949,,,5121MP,Rijen,kvk_not_in_active_register
111333052,BSO,Uitgeschreven,10-07-2018,01-10-2018,60933038,000065885414,,3402VH,IJsselstein,kvk_not_in_active_register
111362222,KDV,Uitgeschreven,28-07-2017,01-10-2019,41046861,000025826522,,6821CE,Arnhem,kvk_not_in_active_register
111400594,BSO,Uitgeschreven,09-09-2013,25-02-2019,30205335,000026115670,,3417WD,Montfoort,kvk_not_in_active_register
111518830,KDV,Uitgeschreven,01-01-2010,08-04-2019,69808686,000012336920,,6163VM,Geleen,kvk_not_in_active_register
111537952,KDV,Uitgeschreven,01-08-2015,16-04-2025,01170636,000008981507,,8754EB,Makkum,kvk_not_in_active_register
111577809,KDV,Uitgeschreven,30-12-2010,01-01-2018,41062208,,,5827AL,Vortum-Mullem,kvk_not_in_active_register
111688292,GOB,Uitgeschreven,04-07-2011,03-10-2019,51228556,000021295530,,3721RG,Bilthoven,kvk_not_in_active_register
111862164,BSO,Uitgeschreven,01-01-2010,21-08-2020,41206646,000026899892,,1071CW,Amsterdam,kvk_not_in_active_register
112014860,KDV,Uitgeschreven,01-06-2016,11-10-2018,41080383,,,5262EN,Vught,kvk_not_in_active_register
112102797,BSO,Uitgeschreven,01-01-2010,20-06-2018,64981363,,,2517RA,'s-Gravenhage,kvk_not_in_active_register
112331038,BSO,Uitgeschreven,27-07-2009,01-08-2017,55391826,,,7021AT,Zelhem,kvk_not_in_active_register
112726550,BSO,Uitgeschreven,07-03-2019,10-06-2020,02061512,,,7765AG,Weiteveen,kvk_not_in_active_register
112924761,BSO,Uitgeschreven,19-09-2010,01-04-2018,30281126,,,3998KD,Schalkwijk,kvk_not_in_active_register
112975094,BSO,Uitgeschreven,09-05-2022,08-10-2023,80979262,000047307897,,2134SB,Hoofddorp,kvk_not_in_active_register
113006925,KDV,Uitgeschreven,05-12-2017,01-05-2022,56050852,000038754002,,3445ER,Woerden,kvk_not_in_active_register
113159596,BSO,Uitgeschreven,26-08-2014,04-04-2019,04078550,000030220262,,7881KS,Emmer-Compascuum,kvk_not_in_active_register
113528280,KDV,Uitgeschreven,01-12-2014,21-08-2022,24302888,,,2903LL,Capelle aan den IJssel,kvk_not_in_active_register
113552932,KDV,Uitgeschreven,19-07-2016,04-05-2018,41062137,000025445146,,5802NP,Venray,kvk_not_in_active_register
113579512,KDV,Uitgeschreven,01-10-2016,15-07-2019,17185283,171852830000,,5756AW,Vlierden,kvk_not_in_active_register
113781428,GOB,Uitgeschreven,11-10-2021,21-09-2022,83699740,000049854178,,8042NX,Zwolle,kvk_not_in_active_register
113808744,KDV,Uitgeschreven,18-05-2015,31-12-2019,57529892,000000000000,,3526VN,Utrecht,kvk_not_in_active_register
113909536,KDV,Uitgeschreven,28-12-2012,24-12-2019,57529892,000000000000,,3522PK,Utrecht,kvk_not_in_active_register
113932194,KDV,Uitgeschreven,01-09-2014,01-01-2018,41119027,000022669787,,3328TG,Dordrecht,kvk_not_in_active_register
114116519,KDV,Uitgeschreven,01-04-2015,28-11-2018,09155585,000007763964,,6645BR,Winssen,kvk_not_in_active_register
114235831,BSO,Uitgeschreven,18-12-2014,20-09-2019,61566004,000030658608,,9363HB,Marum,kvk_not_in_active_register
114469064,BSO,Uitgeschreven,01-11-2015,06-11-2019,02094346,000017242053,,9646BE,Veendam,kvk_not_in_active_register
114568960,KDV,Uitgeschreven,01-01-2010,23-11-2023,05053086,000007477368,,8325XC,Vollenhove,kvk_not_in_active_register
114722535,BSO,Uitgeschreven,01-01-2017,01-12-2022,67263968,000035820357,,5741GB,Beek en Donk,kvk_not_in_active_register
114725196,KDV,Uitgeschreven,01-01-2017,01-06-2021,39089223,000042762960,,8314AA,Bant,kvk_not_in_active_register
114867380,KDV,Uitgeschreven,29-08-2016,15-11-2018,01112852,000000000000,,8862BE,Harlingen,kvk_not_in_active_register
115008329,GOB,Uitgeschreven,10-10-2012,01-01-2018,01142152,000003704793,,8482KJ,Spanga,kvk_not_in_active_register
115117520,BSO,Uitgeschreven,03-12-2020,01-10-2023,58109544,000047934611,,3012AP,Rotterdam,kvk_not_in_active_register
115122564,GOB,Uitgeschreven,01-01-2010,02-08-2022,17184042,,,5447PR,Rijkevoort,kvk_not_in_active_register
115189294,KDV,Uitgeschreven,01-01-2014,15-11-2018,58408630,000028471032,,1566JD,Assendelft,kvk_not_in_active_register
115475515,KDV,Uitgeschreven,01-01-2005,31-01-2019,65261216,,,5014NK,Tilburg,kvk_not_in_active_register
115582459,KDV,Uitgeschreven,01-01-2019,30-09-2020,20146204,000040725154,,4837EH,Breda,kvk_not_in_active_register
115731386,KDV,Uitgeschreven,04-08-2015,04-12-2018,63077728,000032027532,,2565VX,'s-Gravenhage,kvk_not_in_active_register
116013345,BSO,Uitgeschreven,19-04-2013,20-02-2020,50573837,000050573837,,6573BH,Beek,kvk_not_in_active_register
