budget_name,regeling,instrument,year,amount_k,baseline_k,deviation_pct,deviation_direction,n_years
Buitenlandse Zaken,IAEA,Bijdrage aan (inter-)nationale organisaties,2023,14268,4276,233.7,over,8
"Onderwijs, Cultuur en Wetenschap",Caribisch Nederland,Bijdrage aan medeoverheden,2019,7441,2240,232.2,over,8
Buitenlandse Zaken,Raad van Europa,Bijdrage aan (inter-)nationale organisaties,2022,12061,3633,232.0,over,7
Binnenlandse Zaken en Koninkrijksrelaties,Overheidsdienstverlening,Subsidies (regelingen),2023,16982,5117,231.9,over,4
"Landbouw, Natuur en Voedselkwaliteit",Subsidiemodule agrarische bedrijfsadvisering en educatie,Subsidies (regelingen),2023,21974,6626,231.7,over,4
Economische Zaken en Klimaat,R&D mobiliteitssectoren,Subsidies (regelingen),2023,67162,20308,230.7,over,4
Buitenlandse Zaken,Raad van Europa,Bijdrage aan (inter-)nationale organisaties,2023,25188,7653,229.1,over,7
"Onderwijs, Cultuur en Wetenschap",Gender- en LHTBI Gelijkheid,Bekostiging,2023,26518,8079,228.2,over,8
Buitenlandse Zaken,Raad van Europa,Bijdrage aan (inter-)nationale organisaties,2021,10898,3322,228.1,over,7
Economische Zaken en Klimaat,Innovatieregeling Demonstratieprojecten,Subsidies (regelingen),2023,116368,35537,227.5,over,6
"Onderwijs, Cultuur en Wetenschap",Verbreden inzet cultuur,Subsidies (regelingen),2023,44080,13495,226.6,over,6
Buitenlandse Zaken,Benelux bijdrage,Bijdrage aan (inter-)nationale organisaties,2023,8988,2783,222.9,over,7
Buitenlandse Zaken,NAVO,Bijdrage aan (inter-)nationale organisaties,2022,10102,3138,221.9,over,8
"Onderwijs, Cultuur en Wetenschap",Zij-Instroom,Subsidies (regelingen),2023,135624,42170,221.6,over,5
"Onderwijs, Cultuur en Wetenschap",Gemeentelijk onderwijsachterstandenbeleid,Bijdrage aan medeoverheden,2023,1130440,352406,220.8,over,8
Buitenlandse Zaken,VN-contributie voor crisisbeheersingsoperaties,Bijdrage aan (inter-)nationale organisaties,2022,77496,24220,220.0,over,8
"Onderwijs, Cultuur en Wetenschap",Subsidieregeling praktijkleren,Subsidies (regelingen),2020,427000,133516,219.8,over,8
"Onderwijs, Cultuur en Wetenschap",Bekostiging voortgezet onderwijs lumpsum,Bekostiging,2023,19131896,6044003,216.5,over,8
Koninkrijksrelaties,Grensbewaking (Defensie),Bijdrage aan (andere) begrotingshoofdstukken,2022,6673,2113,215.8,over,8
Buitenlandse Zaken,IAEA,Bijdrage aan (inter-)nationale organisaties,2022,6548,2094,212.8,over,8
Buitenlandse Zaken,Benelux bijdrage,Bijdrage aan (inter-)nationale organisaties,2021,4104,1318,211.5,over,7
Buitenlandse Zaken,Verenigde Naties,Bijdrage aan (inter-)nationale organisaties,2021,34065,10955,210.9,over,8
Buitenlandse Zaken,Benelux bijdrage,Bijdrage aan (inter-)nationale organisaties,2022,4246,1368,210.4,over,7
"Onderwijs, Cultuur en Wetenschap",Bekostiging voortgezet onderwijs lumpsum,Bekostiging,2022,9215447,2972188,210.1,over,8
"Onderwijs, Cultuur en Wetenschap",Salarismix Randstadregio's,Bekostiging,2022,54392,17554,209.8,over,7
"Onderwijs, Cultuur en Wetenschap",Salarismix Randstadregio's,Bekostiging,2023,110532,35685,209.7,over,7
"Onderwijs, Cultuur en Wetenschap",Gemeentelijk onderwijsachterstandenbeleid,Bijdrage aan medeoverheden,2022,536493,173575,209.1,over,8
Economische Zaken en Klimaat,European Space Agency,Bijdrage aan (inter-)nationale organisaties,2023,177150,57404,208.6,over,6
Koninkrijksrelaties,Versterken bestuurs- en uitvoeringskracht,Bijdrage aan medeoverheden,2023,23924,7850,204.8,over,4
Buitenlandse Zaken,OESO,Bijdrage aan (inter-)nationale organisaties,2022,7543,2474,204.8,over,8
