kvk_number,company_name,registration_date,insolvency_date,days_to_insolvency,sbi_codes,postcode,address,city,insolventienummer
92079059,Ollie Retail B.V.,2025-09-06,2026-01-28,144,"47722,74120",1078AD,Amstelkade 25,Amsterdam,F.09/26/22
34277022,Banapple B.V.,2025-09-06,2026-01-28,144,"46311,49410,52109",3704HX,Mijnhardtweg 70,Zeist,F.15/26/27
81879881,KRIWI B.V.,2025-09-06,2026-01-28,144,46390,4703RC,Rechtzaad 15,Roosendaal,F.09/26/23
69470650,Fair Furniture B.V.,2025-09-06,2026-01-28,144,"46471,47551",5632CX,Weegschaalstraat 26,Eindhoven,F.02/26/22
93853556,Eetcafé Herman & Herman B.V.,2025-09-06,2026-01-28,144,"56111,56112,56300",1092BA,Beukenplein 3,Amsterdam,F.16/26/43
63565021,J22 B.V.,2025-09-06,2026-01-28,144,"47713,47714,47721,47770",2651JN,Westerwater 40,Berkel en Rodenrijs,F.09/26/24
93551983,CimT Holding B.V.,2025-09-06,2026-01-28,144,70102,3633EJ,Maartenplein 31,Vreeland,F.16/26/44
34277022,Banapple B.V.,2025-09-06,2026-01-29,145,"46311,49410,52109",3704HX,Mijnhardtweg 70,Zeist,F.16/26/45
81879881,KRIWI B.V.,2025-09-06,2026-01-29,145,46390,4703RC,Rechtzaad 15,Roosendaal,F.02/26/23
92079059,Ollie Retail B.V.,2025-09-06,2026-01-29,145,"47722,74120",1078AD,Amstelkade 25,Amsterdam,F.13/26/26
93853556,Eetcafé Herman & Herman B.V.,2025-09-06,2026-01-29,145,"56111,56112,56300",1092BA,Beukenplein 3,Amsterdam,F.13/26/24
93551983,CimT Holding B.V.,2025-09-06,2026-01-29,145,70102,3633EJ,Maartenplein 31,Vreeland,F.13/26/25
63565021,J22 B.V.,2025-09-06,2026-01-29,145,"47713,47714,47721,47770",2651JN,Westerwater 40,Berkel en Rodenrijs,F.10/26/29
69470650,Fair Furniture B.V.,2025-09-06,2026-01-29,145,"46471,47551",5632CX,Weegschaalstraat 26,Eindhoven,F.01/26/24
88671844,Hausmachers B.V.,2025-09-06,2026-01-29,145,"71120,74990",7468DN,De Bree 2,Enter,F.08/26/29
33242864,Feyecon Development & Implementation B.V.,2025-09-06,2026-01-29,145,71120,1382JL,Hogeweyselaan 221,Weesp,S.13/26/1
09084232,Technoconstructie Aalten B.V.,2025-09-06,2026-01-29,145,16250,1016EJ,Keizersgracht 391,Amsterdam,F.05/26/32
34381101,My Choice B.V.,2025-09-06,2026-01-29,145,"47110,47241,47242,47713,47789",1012MC,Nieuwendijk 99,Amsterdam,F.13/26/23
85519308,RØSTIG B.V.,2025-09-06,2026-01-29,145,"47789,55300",6522EW,Jan van Goyenstraat 36,Nijmegen,F.05/26/33
71776540,Wmozorg diensten B.V.,2025-09-06,2026-01-30,146,"64210,78202",1217GL,Naarderweg 16,Hilversum,F.16/26/46
